Optimizer,objfname,ExecutionTime,Individual,Iter1,Iter2,Iter3,Iter4,Iter5,Iter6,Iter7,Iter8,Iter9,Iter10,Iter11,Iter12,Iter13,Iter14,Iter15,Iter16,Iter17,Iter18,Iter19,Iter20,Iter21,Iter22,Iter23,Iter24,Iter25,Iter26,Iter27,Iter28,Iter29,Iter30,Iter31,Iter32,Iter33,Iter34,Iter35,Iter36,Iter37,Iter38,Iter39,Iter40,Iter41,Iter42,Iter43,Iter44,Iter45,Iter46,Iter47,Iter48,Iter49,Iter50
GWO,F1,0.47284770011901855,"[-0.35362942 -0.35606373  0.35678694  0.20284484 -0.29770697  0.35234283
 -0.29950359 -0.49550007  0.4147481  -0.47431503 -0.32421465 -0.42246699
 -0.3719858  -0.27062694 -0.31807704 -0.43237433 -0.22756705 -0.44542903
  0.01230141  0.21320016  0.43116991  0.22710058 -0.43548104  0.39017292
  0.29071546  0.43338667  0.2853161   0.33297603  0.43432451 -0.44949216]",69193.1828225754,56260.10276520404,47639.392667830114,28362.580752587764,19981.18023156669,10768.998846493821,10641.609645389139,7560.409585924566,5974.761215022181,5043.618356253769,3749.700089854035,2228.498512703368,925.2451708583251,858.6532308089396,548.1013407163356,400.25374303688864,284.5280817040549,244.61647297667523,152.48675404905003,128.1231879312756,97.53592409156919,69.16020473058971,53.686413825877345,43.46756295100256,35.06594150443493,29.435796800046862,25.207854175704345,19.300598689695214,17.614467980990874,14.650663371321718,12.622817012361136,11.724034614289529,10.73402954394021,9.681553270920432,8.34220491983393,7.350772307579105,6.603434287877706,6.429440495721186,6.021089645735241,5.563421136630885,5.187763926390122,4.932969503781399,4.537287638290732,4.386403346098627,4.250896760541574,4.158642121428482,4.0738637157840545,3.952997590086593,3.932821487328571,3.87905191567662
GWO,F1,0.4360673427581787,"[-0.41444748 -0.32746336 -0.20590108  0.37013371  0.34901453 -0.33847217
  0.35554586 -0.40119461 -0.28406082  0.32816502  0.41956783  0.12740763
 -0.40899726  0.35594586 -0.3228452  -0.09597266  0.41304934  0.17148687
  0.31771263 -0.32513289  0.23758264 -0.38814261 -0.41864133 -0.38039169
  0.1862035   0.1349011  -0.45128595  0.47235565 -0.39045659  0.34719831]",68419.94107095807,59041.1868823705,41121.58809161166,24958.854173626096,23018.02341108182,13417.457232894205,11014.420143412319,6707.480753516158,3844.789813724958,3037.9040529537615,2139.149692248066,1691.7554928043894,1086.3478331971132,945.3748933253723,753.5919592331592,485.8937144912747,361.7708438717439,199.2635034834776,170.4346447563943,136.6523004068729,103.18589217914729,71.37720980809014,46.562734751599464,40.60143681990337,30.981685000222363,24.98397745112229,20.18968181736173,17.63124564205116,14.906738554004328,13.321847186335074,12.302903544812407,9.233515720877953,9.035589831505119,8.057807150559025,7.404265096312292,6.6459467925622295,6.114289484160128,5.594735380077165,5.297098722212703,4.889306926881751,4.714603963780677,4.482990201760645,4.210942127429526,3.971303901506121,3.8221488511909523,3.7044259178332193,3.61859822722998,3.526586750300902,3.475561077126602,3.4565871445535867
GWO,F1,0.4302866458892822,"[ 0.75401324  0.80508527  0.48591185 -0.73395726 -0.71035012 -0.71558699
  0.15151047  0.0216546  -0.64319676  0.80567539 -0.51159573 -0.80330616
 -0.93154314  0.52635628  0.38805894 -0.64184689  0.8045216   0.7691559
 -0.37577526  0.60030659 -0.71287839  0.60429904  0.7268964   0.68423041
 -0.1249619  -0.7313704  -0.83491576 -0.3220798   0.4973823   0.36958424]",65934.428157285,55602.42208672413,32952.727254468686,24539.330027687985,23178.658992235814,19567.246836689155,15617.744280800749,11445.111352869755,9143.94887056956,5881.811140495381,4312.223198867356,2648.9753411808542,1975.4098661287458,1692.879896865529,1292.0535235086697,817.2368393902648,637.7852165778123,404.3739319223312,315.60581258461445,263.66150742776944,220.9889672474618,161.56814073317074,133.94594568886413,111.57369143972953,95.16240416266093,83.84576362001647,67.0500335018849,49.015669387225365,46.962029674026695,41.62030873506603,35.32967411807693,32.85764943652269,30.02983792428985,26.709770058757226,24.2638101903152,22.07184475446483,20.3093988800004,18.583980050116953,18.030266323404135,16.777809371760853,16.189130286822916,15.384628944592906,14.579681866782934,13.92871845710771,13.429774352308025,12.923606299058775,12.56286683113638,12.338026998190191,12.224341669052492,12.05448775348805
GWO,F1,0.41704344749450684,"[ 0.25973026  0.13283208 -0.38380156 -0.3728271  -0.25325332 -0.42981185
 -0.41714561 -0.44865206  0.37811319 -0.29886913 -0.42386686  0.07652417
 -0.38623167  0.2475265   0.36309254 -0.42103355  0.11939732  0.32577717
 -0.40636561  0.16897794 -0.36320962  0.39442243 -0.26687669 -0.40826968
  0.37406459 -0.45780318  0.43332123  0.50690447 -0.39152475  0.28583199]",59954.22506901813,47494.09182421239,28553.123810392593,28553.123810392593,27031.906935294894,22402.49017319086,13987.709834142015,11522.09349487768,8565.463402095462,6294.446952244649,4147.722118275294,2129.6433667853403,1170.485177506238,1049.5009420341798,735.4798843820838,327.5069871964876,249.77152903077146,196.432902099294,145.684258395051,118.0730232784658,98.36314210021372,74.22529479678687,57.7674097375531,41.03692371178089,35.403561950091934,25.50422958417874,21.4040937074239,16.19238727708372,14.829557969699525,13.452551586196053,11.279892538143468,9.83674281290253,9.368246083055462,8.771599876044148,7.626182345864418,7.316855196462786,6.866721729338124,6.254403623311897,5.595328241730132,5.209817412710903,4.901086627854611,4.765974021998347,4.541296476790471,4.360829823073793,4.160770038926117,4.029367915790276,3.928366106999108,3.8702732596246388,3.8283430844523076,3.80163324312465
GWO,F1,0.43554186820983887,"[-0.02240764 -0.18671148  0.09268984 -0.5138123  -0.48787639  0.44035207
  0.55582292  0.54425855 -0.42174479  0.28560572  0.53487063  0.08111011
  0.6733494   0.30892449  0.45924732 -0.4573481  -0.66384937 -0.40357748
 -0.58179539  0.54202803  0.20681094  0.58430161 -0.71358213  0.27861211
  0.7495484   0.53843655  0.27971963  0.57319332 -0.6975544   0.52463005]",69917.4736993676,43989.50161468774,36665.701403027706,25545.983740945194,18902.28823171634,14685.404747417566,11633.235209453285,9300.842092281408,5822.704582741617,5822.704582741617,3188.028630238136,2907.7781911355623,2362.839326847543,1968.4674627828856,1313.3438206963112,860.2018843443288,719.9888617787506,543.4658503142309,441.625591853698,210.16696266016987,166.22845654646616,124.52757799019746,114.18373246667905,86.36782201054875,64.93708824927329,58.917310787526596,52.37851431686681,38.89038851479805,30.785009622572908,28.255016593335096,23.399177019244807,19.930916898035804,19.27025387634787,16.65110455181484,15.057856795459314,14.224243234384211,12.829488397036066,12.433168429611001,11.479245514800901,10.584996192963963,9.489486879281406,8.73659384971666,8.641879462258164,8.324216656280196,7.930749841584941,7.619187440662178,7.388930898662144,7.258552473956619,7.144802836437351,7.093264983602918
GWO,F1,0.4276082515716553,"[-0.56596402 -0.69311107 -0.26964617  0.41921702 -0.82438426 -0.75400199
  0.57505818 -0.46040568 -0.73254483  0.59154461  0.64469999  0.62372329
  0.5644275   0.69190334  0.71535186  0.48495757  0.63674831  0.32595744
  0.541969   -0.58236142 -0.77719101  0.43646009 -0.61383529  0.73427853
 -0.03218749 -0.58168621 -0.29322274  0.63415387  0.21375197  0.58153872]",72034.29667573467,47100.539958397734,45067.01155242567,29492.366029779045,17594.728167390673,12875.499194722574,12658.50738241475,6136.338024615647,6136.338024615647,4288.3316516166215,2754.845913819009,1500.3879523347132,1214.275539715922,995.131189848781,806.9232657254033,626.8818722557883,395.64807657889406,368.0754180694036,285.02875585319816,203.50030452727057,166.85721116964427,124.10987827631745,116.13501261376446,92.96549588912166,82.01715657764653,73.91196566401335,66.51728278355,54.13667194080722,48.04391156614013,41.403837391191516,36.9702818719899,32.733505423108134,28.940909474223698,24.993292680848224,21.16195839442957,20.12148535616495,17.448070120847643,16.530730707262002,15.048405033461364,14.225664495677401,13.613468318056132,12.853006753356492,12.088340281775775,11.510736634394071,11.346689748567057,10.943112963698619,10.617409922617002,10.33631027989927,10.266212813813933,10.141857093721342
GWO,F1,0.42741870880126953,"[ 0.07481502  0.6103842   0.78898619 -0.27176493 -0.60984503  0.60857059
 -0.58940697 -0.72936702  0.27872355  0.64691359 -0.90609326  0.07904897
  0.79319574 -0.52005133  0.18909184 -0.90040913  0.63651708 -0.42450165
 -0.61544659 -0.27876083 -0.25752168  0.8277956   0.66865611  0.37714979
 -0.77298306  0.46762784  0.25198922 -0.7573556   0.37226824  0.56343582]",71811.36253153067,65037.991148278816,49894.43667572045,32081.64004326994,27512.19316902246,17536.175511839163,14053.682623822693,10690.221384092943,6155.899612327257,5852.544680103044,3790.028283312266,2816.9250956688916,1947.129194363921,1278.8061720956682,889.4327285335437,626.6982381446204,480.25837584253503,411.4377679943575,319.88945865463177,245.27099132356162,197.78572058512196,164.01817409891825,130.80802663812548,117.45437912521493,94.14860212335077,78.82288591962408,69.21238733510529,53.63256643755253,46.41196090851729,36.277559928779965,33.17994481201509,28.981600768351598,25.953808663668152,21.211826576387356,20.423526381247633,19.37144525698366,17.52994627479057,16.71558557704447,15.810333466486274,14.364825720194405,13.33085101995208,12.611285886699266,12.066363811285914,11.757622595674746,11.27971213136505,10.835571137347081,10.531591249695945,10.296679019556255,10.1000178122228,10.057762359760412
GWO,F1,0.42748045921325684,"[-0.67927244 -0.71937767  0.8498287   0.60421975  0.01816059  0.75932428
  1.00561904 -0.71057022  0.58934405 -0.72954471 -0.08295693  0.49186265
 -0.53876371  0.68498081 -0.85673074  0.55754206 -0.73505569  0.14666888
  0.11359805 -0.64544231  0.39923314 -0.75817911  0.66498984 -0.76296807
  0.90862645  0.28142273 -0.93896542  0.66712057  0.80109334 -0.87340037]",54647.487373703494,41752.34201970479,38454.09772661631,26199.098881876933,21189.221906360035,14187.085626600048,12992.227556015529,11245.809328363284,8617.379572546073,5464.130007247549,3435.7309277181166,3215.8427867525747,2224.941974194544,1494.1395353066737,1172.2836690073398,857.4458754414496,700.0200087543737,390.38104625348666,357.88417574612424,266.41833445712155,216.91910065124452,161.99647401781655,114.67775998484748,98.61848467472217,81.21509754078718,75.48547934302188,63.81334472135512,58.843861063883196,52.198913361323584,44.72035138021694,39.75393348180847,36.2481879297962,32.541946488250716,29.569205399706266,26.7603520998843,25.673203383648122,23.853719959233253,21.3827213237446,20.620898656631102,19.186199877169233,18.064348943243775,17.49464612140373,16.361326305758293,15.503593084367832,15.104111595753611,14.23475335603468,14.23475335603468,13.740719164581318,13.564645278462166,13.477925647590414
GWO,F1,0.43271732330322266,"[-0.55915847 -0.55104686  0.61946268 -0.49961421 -0.55854891 -0.43627698
  0.54322862  0.56019932 -0.26504475 -0.63664928 -0.59652074  0.53277361
  0.52801353 -0.34209788  0.23142181  0.2091196   0.44007019 -0.48077586
 -0.43038549  0.65438164 -0.26491076  0.53157159 -0.5016695   0.46053451
 -0.41936158  0.16505834  0.61738641 -0.57277629  0.45924316  0.30182716]",66787.13891889462,46287.65096627455,39877.25619428716,23837.048150769726,20334.681696809246,13461.455224522717,11247.591387333403,7127.021592263082,4386.316400526755,3218.6469312532267,2530.3148040639317,1488.0309599039795,1327.9213228982926,1000.3121604003358,603.6875531225122,451.87400609889386,305.6737650040863,258.96647548629613,212.0480310063353,186.62211274615132,157.10832326345744,116.41401950830092,105.1566942555838,83.26378479350747,71.06195525355189,55.88858245453988,42.7699531177594,41.461194033713426,34.93259860743985,28.177597242378088,23.324524211001325,22.054113899534705,19.036376783166666,15.25205558198703,14.54221941772069,13.226412359209549,12.076957774104622,10.861400731682016,10.358088570016779,9.727299312671875,9.052615011838649,8.814431184971442,8.33029703044472,7.934672561723996,7.733783063720741,7.482418576975361,7.34762079152624,7.233044435366916,7.105268268336749,7.03838188926566
GWO,F1,0.4356651306152344,"[-0.55871833  0.76298742  0.44986571  0.43692207  0.58542599 -0.69553066
  0.26916262 -0.34437524 -0.36967193 -0.37984014  0.41777509  0.52865834
  0.4742602   0.67435266 -0.42962566 -0.57306618  0.69410959 -0.57348395
 -0.4696495  -0.60267956 -0.51941844  0.56623547 -0.55228262 -0.04193781
  0.09015946 -0.58547923  0.11390057 -0.42836651 -0.24972094  0.49851861]",70598.64801008302,42347.805611875505,26212.553690896384,26212.553690896384,20646.434661569976,14093.609007731437,9803.207222595265,6719.144331095821,4005.365345854,3450.508412007368,2492.0796746855044,1904.8467674868898,1392.620880694427,925.1379741375263,687.3913968116311,553.92826277792,413.9296745604345,338.9923777503396,235.3525531325462,169.0555260341945,129.54022415181805,99.43608017834542,87.53595418785231,75.00556078230798,63.50867577032714,54.29031788898715,46.303580170588475,39.027641879434064,32.02933154895906,28.932694464686723,25.73004022863698,22.012535299063895,19.76105026563829,16.607571056563422,15.571311683347009,14.112623980677736,13.000764225823987,12.031945628414544,10.972982687180444,10.682815475297808,10.03957172682799,9.465359042979355,8.971103434112804,8.644159365424706,8.21829336332662,8.02048557261416,7.735936228521648,7.5177105852771655,7.430551894558498,7.38265965828215
