Iteration,Avg_Centroid_All_Distance,Avg_Centroid_Leaders_Distance
1,9.810216588417065,9.680067736611244
2,12.578413776130507,12.349121763700946
3,14.049869317731304,13.99298311763218
4,15.258998066191579,15.15441079594339
5,16.03380624128418,16.02154674343321
6,16.563571815823558,16.622247439457045
7,17.369612430890975,17.252360417753884
8,17.589972660689643,17.498813423242378
9,17.691755523133786,17.670642742973367
10,18.116166655428763,18.004959803913316
11,18.340012800224265,18.246584187166945
12,18.4108207858538,18.393316344463035
13,18.58099525491015,18.544724260908847
14,18.70536067350347,18.6532482068151
15,18.73972438412735,18.779838098068623
16,18.864877824458606,18.864015612515733
17,18.925047628711656,18.89655802973477
18,18.951220890498973,18.929602905701337
19,19.17219408923473,19.055388490453257
20,19.0722080296297,19.113556907141152
21,19.15847025368496,19.102295218631344
22,19.171225415161423,19.094675545095313
23,19.11431172699914,19.1366320683078
24,19.294728384969844,19.262424564323037
25,19.31927396526735,19.22944266455008
26,19.29174214811822,19.294428421492306
27,19.413431150500298,19.34378449494422
28,19.282696826052135,19.319106143337493
29,19.347666297732367,19.34846085418263
30,19.366933875973643,19.399141257430752
31,19.459556902937482,19.38483862833449
32,19.402265731524963,19.428186553413195
33,19.364525372585884,19.41846546291725
34,19.384585701024626,19.4139133243895
35,19.493217859006656,19.432831482749716
36,19.480401506529013,19.456599233978615
37,19.46174972115409,19.47717932472269
38,19.589670922494534,19.520078959401328
39,19.640527936794054,19.549689264284847
40,19.660773152671123,19.579884466224993
41,19.574566802531752,19.524168622060095
42,19.619284496839494,19.559261053893547
43,19.550742685189693,19.549331594608653
44,19.592016792437246,19.542053789147733
45,19.55867551584387,19.526492897830416
46,19.52914186436232,19.534214410719983
47,19.565734095925574,19.56365602272837
48,19.583965065849902,19.557956776827123
49,19.591038164546696,19.571950706897397
50,19.54756190308078,19.496409399919823
51,19.50102117210561,19.485070088989733
52,19.550599182199786,19.511748771295004
53,19.517624912311916,19.49671775214416
54,19.624341777642734,19.49768823394633
55,19.597040789143517,19.581757185355812
56,19.648311032227138,19.561798989231978
57,19.63439268520102,19.59140290164123
58,19.679378506486767,19.60984564939957
59,19.598869469475805,19.626338143242652
60,19.65947852353636,19.59152288482526
61,19.605824624550955,19.61018169232393
62,19.708624691318622,19.625661678271552
63,19.605857446337737,19.657456434461558
64,19.732643571790806,19.684841322952096
65,19.792265316769885,19.71389419028397
66,19.686920770874544,19.696452553477798
67,19.80935187172026,19.71154184055468
68,19.79565597105505,19.733179194644574
69,19.870440569613045,19.73889244590034
70,19.810085693875653,19.74680246294513
71,19.650978716857523,19.70169844451384
72,19.702418394813318,19.72786906580268
73,19.749471361731526,19.784105727546546
74,19.864340631922303,19.793249423372778
75,19.798269154388088,19.74136729795892
76,19.71786597800943,19.747502659604397
77,19.80491258022066,19.776942823993483
78,19.755051205159493,19.766820099536904
79,19.85109397620029,19.82055319625272
80,19.842130304753486,19.81027063317762
81,19.869911769148974,19.81377238710423
82,19.91558539905493,19.877989388514983
83,19.939283075027845,19.914074358876366
84,19.935588280562037,19.879105058498926
85,19.97719912647163,19.900134907614113
86,19.846478890547715,19.908709089134113
87,19.995837504849366,19.93519651600759
88,19.841722564678168,19.911831501401895
89,19.923496865851256,19.942789945882886
90,19.99900895020259,19.936424024063392
91,19.969832183333832,19.914365426731642
92,19.87716643454206,19.8532086856246
93,19.944534333574993,19.867511505630326
94,19.847221756251365,19.870553598125845
95,19.91103940750135,19.87058766923134
96,19.93920302801654,19.866784524229807
97,19.889754859736797,19.866784524229807
98,19.891529077415694,19.867069681089802
99,19.880973622474688,19.846147155435563
100,19.844722075433072,19.855387178409348
101,19.90320641267139,19.856208351549544
102,19.87267132932981,19.856208351549544
103,19.880289403639605,19.8338287525233
104,19.88756060087392,19.882825789444762
105,19.87977982346588,19.871400647371292
106,19.911124689991656,19.871400647371292
107,19.844566988478523,19.88358263102794
108,19.949653828439804,19.88209195474869
109,19.86236297697529,19.864347977209267
110,19.84300929963327,19.870577105432194
111,19.891103484912815,19.870577105432194
112,19.794419937208566,19.85271439676345
113,19.867182925099588,19.839877378011735
114,19.970495826128385,19.876433994374075
115,19.955953713135326,19.897112856110034
116,19.936023463659346,19.89944567300758
117,20.076748346547316,19.905597756052455
118,19.882354225253955,19.936446112514876
119,19.980722033856537,19.915163421116834
120,19.91673615137705,19.915163421116834
121,19.954717150440164,19.927723338215724
122,19.9287950888673,19.926722099167943
123,19.986649007499864,19.933345003996294
124,20.050326709804647,19.987771087593437
125,20.019930479753313,20.012986142818118
126,20.030672322755397,19.99619798581219
127,19.993701959611283,19.99354701871094
128,20.04456812972285,19.99354701871094
129,19.99755654612847,19.99354701871094
130,20.05926368697146,20.022809589515205
131,20.02748849331126,20.022809589515205
132,20.06783759767092,20.03052623818728
133,20.044383867590035,20.014600205716555
134,20.053638893152197,20.037520384452645
135,20.029989495942996,20.049460858878355
136,20.056511887141426,20.059535053526677
137,20.001384755673584,20.04979222560354
138,20.04695636515718,20.04831112031278
139,20.184124656537623,20.100101015794824
140,20.115951104113986,20.103502005908478
141,20.1398328454543,20.102018588461632
142,20.17989268983723,20.103273908718485
143,20.146633362184428,20.112389776698834
144,20.12768814321493,20.112389776698834
145,20.097106811059884,20.09498255269389
146,20.133509601312785,20.092437792867603
147,20.127278878273625,20.091084451370154
148,20.12213679069212,20.102443635787903
149,20.120908523163823,20.102443635787903
150,20.107535922815522,20.13647921209133
151,20.222288312831118,20.13647921209133
152,20.184074774910798,20.13647921209133
153,20.15754777985701,20.14137905525262
154,20.13658461485608,20.14137905525262
155,20.06007464448818,20.15130033205962
156,20.12895345947674,20.15130033205962
157,20.127030368025203,20.126318796273075
158,20.126389311493334,20.126318796273075
159,20.074243993537284,20.101882358161102
160,20.137555340162336,20.08897689236567
161,20.1134220016235,20.07972101286318
162,20.189983261088013,20.07972101286318
163,20.130551476174105,20.080890810576665
164,20.059871466526936,20.070680765599786
165,20.112435713666596,20.070680765599786
166,20.11763449216327,20.103431583696622
167,20.126153900933925,20.103431583696622
168,20.145380730406227,20.103134305066668
169,20.156919245384145,20.1029606979753
170,20.117095504945546,20.11151477827061
171,20.157962611404376,20.11997177208621
172,20.148881383252423,20.131094403974593
173,20.15349821667432,20.123899292296773
174,20.22937049427207,20.148347013884386
175,20.157671921723473,20.154385913708712
176,20.241820394251487,20.154008773388412
177,20.22864387732609,20.160678082911172
178,20.155637391151338,20.1634681684867
179,20.203447984876124,20.166201809997013
180,20.154668594369024,20.175258991493113
181,20.185853374388184,20.14530042285595
182,20.145795598538555,20.14530042285595
183,20.1621129017038,20.14530042285595
184,20.109290032514004,20.14152473017537
185,20.22613184575796,20.173840565943177
186,20.18043171972703,20.173840565943177
187,20.147077629054024,20.15628635827396
188,20.203006241561965,20.167171727823888
189,20.19867996174656,20.167171727823888
190,20.169977806723658,20.167171727823888
191,20.185128390177525,20.16481910997369
192,20.235393807253168,20.174918841765702
193,20.16387848942077,20.16175020411295
194,20.125838520566777,20.16175020411295
195,20.22791319905149,20.156919797522562
196,20.16288558030752,20.16094126272181
197,20.17552474870718,20.157256975015763
198,20.213304459566334,20.157256975015763
199,20.170125029253832,20.157256975015763
200,20.151593656305074,20.173942430557677
201,20.17170779581891,20.173118513532327
202,20.202346151686648,20.173118513532327
203,20.182432471904058,20.173953952508676
204,20.160396036421048,20.17089039110329
205,20.200192234280163,20.17089039110329
206,20.218011230937936,20.17089039110329
207,20.141941582219975,20.17089039110329
208,20.22780987686797,20.167411729421136
209,20.19672412314184,20.177673505255925
210,20.209243965449584,20.168905630656187
211,20.20601764935687,20.168905630656187
212,20.19674266249276,20.15299290381562
213,20.189163970133226,20.15299290381562
214,20.18542897967877,20.142278722508763
215,20.17715491347101,20.13295244763351
216,20.1478281867412,20.1428930957618
217,20.178099579784014,20.1428930957618
218,20.171340661359576,20.14836917305934
219,20.180385222628964,20.14836917305934
220,20.19855970400465,20.14836917305934
221,20.131555441182844,20.14836917305934
222,20.146552805295173,20.139344208335082
223,20.16289384080367,20.139344208335082
224,20.15196797499848,20.13963326356914
225,20.148180733518057,20.13963326356914
226,20.155488008309128,20.15023560305788
227,20.140570872349794,20.149034616242766
228,20.148577187230327,20.133819955359648
229,20.095334995054873,20.12731050126585
230,20.064225141232367,20.12731050126585
231,20.173331227537616,20.134181415678718
232,20.192176707268096,20.131676086771407
233,20.125965302770012,20.131676086771407
234,20.105467545148862,20.121085215092123
235,20.166107898210903,20.121085215092123
236,20.10435427495427,20.121085215092123
237,20.14632847126465,20.121085215092123
238,20.162375385656535,20.121085215092123
239,20.16669189763241,20.117342903736805
240,20.07858579374209,20.117342903736805
241,20.099801578375512,20.095645592548003
242,20.085572694975987,20.095645592548003
243,20.130312103215797,20.11036589166565
244,20.12329611409715,20.12864660767019
245,20.132011831493926,20.119708647246455
246,20.044086322054866,20.119708647246455
247,20.164308293463016,20.128846703567874
248,20.10478529979192,20.117948199867254
249,20.151825388430243,20.122329333113058
250,20.148916558047755,20.10447248213414
251,20.146654905965843,20.10447248213414
252,20.11647467852342,20.10447248213414
253,20.083192806606203,20.086991025093468
254,20.08975412615371,20.086991025093468
255,20.110629129294477,20.10471351315417
256,20.07093758299987,20.098610587475072
257,20.037255387312417,20.088000127856727
258,20.114368425093332,20.088000127856727
259,20.10504075585526,20.088000127856727
260,20.13187191647521,20.09962834161091
261,20.12943210888641,20.09962834161091
262,20.100147306303995,20.116065697999336
263,20.108438617792658,20.09383139160463
264,20.049539878251462,20.09697222619345
265,20.085645226387953,20.071027056199117
266,20.08721539962988,20.071027056199117
267,20.058050230346478,20.071027056199117
268,20.12325641766085,20.05949034517919
269,20.11145597552313,20.0533159681337
270,20.045589912718537,20.047562785622684
271,20.07442307733742,20.047562785622684
272,20.02579230354575,20.037624051420064
273,20.05107425974506,20.037624051420064
274,20.05775553134871,20.037624051420064
275,20.032143944216433,20.037624051420064
276,20.027700808017933,20.037624051420064
277,20.07410836068312,20.062852050123652
278,20.086672157351288,20.062852050123652
279,20.06312334430468,20.06738781360851
280,20.090356296185792,20.05931920662027
281,20.075643449941957,20.05931920662027
282,20.106304980273286,20.070757430473506
283,20.078904212312807,20.070757430473506
284,20.131170254332986,20.07605974939576
285,20.080034733890777,20.08084968854314
286,20.11723232599435,20.081692662390612
287,20.082685059616193,20.075982551895606
288,20.12561425355586,20.091445946224095
289,20.087309083339004,20.091445946224095
290,20.118706090332886,20.089628392608656
291,20.08752611485373,20.083838900253667
292,20.103516665337665,20.083838900253667
293,20.078233541255223,20.086655138869098
294,20.127600211575306,20.086655138869098
295,20.104486022912802,20.087772410965623
296,20.109780484011658,20.094044123919055
297,20.121468838002333,20.094044123919055
298,20.10077247128655,20.094044123919055
299,20.088971320851652,20.070759211164418
300,20.0587283433956,20.070759211164418
301,20.067063650187485,20.059912047029986
302,20.08882434706018,20.059912047029986
303,20.06355433445127,20.059912047029986
304,20.04993393945271,20.059912047029986
305,20.068416903212857,20.059912047029986
306,20.05433213556297,20.059912047029986
307,20.063779523949922,20.063554022186487
308,20.077916809462423,20.063554022186487
309,20.01617608814554,20.058732303855034
310,20.068400756447218,20.04437797277732
311,20.023599851727557,20.04437797277732
312,20.041282543021506,20.04437797277732
313,20.047191018035083,20.04437797277732
314,20.082229306095382,20.04400190142869
315,20.042276332563517,20.04400190142869
316,20.102142919129445,20.070180170081255
317,20.0866012389662,20.079894586681505
318,20.099974092292484,20.078990418149523
319,20.09985996277472,20.078990418149523
320,20.061784356766417,20.078990418149523
321,20.106083611435107,20.075457000217725
322,20.095987503852566,20.075457000217725
323,20.076912525551005,20.09328598005921
324,20.131675850666504,20.09328598005921
325,20.122699803725723,20.09328598005921
326,20.11621848924182,20.104170976648113
327,20.07533737299035,20.104170976648113
328,20.119330467278743,20.104170976648113
329,20.117112122569512,20.104170976648113
330,20.137451765748835,20.104170976648113
331,20.093708326190107,20.100279714178708
332,20.09652867708687,20.094339130359376
333,20.103803100346294,20.094339130359376
334,20.12936037929938,20.09796298838984
335,20.08470223961715,20.102860128264624
336,20.08919631419441,20.102860128264624
337,20.116962458009322,20.10859574422072
338,20.116466230025818,20.10859574422072
339,20.10432742536626,20.10554120322403
340,20.106808805679904,20.10554120322403
341,20.114676172571844,20.10554120322403
342,20.114197725303722,20.120463866255932
