Iteration,Avg_Centroid_All_Distance,Avg_Centroid_Leaders_Distance
1,9.717101301647308,9.598766087297799
2,11.998536836008723,11.816242562147822
3,13.299876798208512,13.202812965329134
4,13.933266078657281,13.830832395794552
5,14.533472318274983,14.534098857743414
6,14.94917034752666,14.841639368814532
7,15.340685085280956,15.17787502835757
8,15.444771428316306,15.377946968772257
9,15.439487597683094,15.435819669175695
10,15.431273858778326,15.366235170529333
11,15.531799237082799,15.548006353634483
12,15.635972810045365,15.638954764793924
13,15.621373843338851,15.634413152243402
14,15.917713354968507,15.763899211928567
15,15.771366233098922,15.765190777403397
16,15.74611633549696,15.689742767666825
17,15.720777303216112,15.661721332451073
18,15.808506012090055,15.68585916837144
19,15.716514680753017,15.726048446960478
20,15.716177832546533,15.699165501480708
21,15.692984619397006,15.681187141055238
22,15.867340688386692,15.785355167072321
23,15.890133105485113,15.863977715614777
24,15.9344906959106,15.901740513243887
25,15.948014809553285,15.90117669569521
26,15.888008227491135,15.839127077031206
27,15.962513447578518,15.9067902409047
28,15.994328810675396,15.99253711424912
29,16.00362037878945,15.965959596993391
30,15.973051782960795,15.931328572401986
31,16.0106137323554,15.923946548644887
32,15.91462644047562,15.90644693256945
33,15.883081249940574,15.857969314167994
34,15.862347529346945,15.829545700510716
35,15.879752131199602,15.81428785117932
36,15.820826336531892,15.83720340934576
37,15.95140085631092,15.834581633828334
38,15.849727618897662,15.798320059010763
39,15.879344692363814,15.828976452233281
40,15.825261290186228,15.788532897461014
41,15.664940830079393,15.789344196194408
42,15.79826416800396,15.806709342351512
43,15.842560123344336,15.80171489696625
44,15.81340990138968,15.801296137595246
45,15.75825257056754,15.786223670013188
46,15.808132840557487,15.745384939839994
47,15.748119981459364,15.705635102942093
48,15.699578516312858,15.65057319179767
49,15.681489841891041,15.631397630174117
50,15.680625052645507,15.629399574417118
51,15.742430416108787,15.619796245974733
52,15.593064916145318,15.585956448318244
53,15.579813228051032,15.580596708819092
54,15.66263594226561,15.623600584854442
55,15.697939280084556,15.674415350554087
56,15.737763613284137,15.649532688528353
57,15.77435754202701,15.654143604407208
58,15.791969790354573,15.656807378865036
59,15.771805451041221,15.722205448664255
60,15.766722347347077,15.704537080024384
61,15.85394746195737,15.717704740048557
62,15.849229709076493,15.720381506134606
63,15.773801284069787,15.722615295921289
64,15.811895187256482,15.726877576589704
65,15.800763852615576,15.743288954795727
66,15.813449653088153,15.727297458114943
67,15.787704740855217,15.724727473297355
68,15.732509910606224,15.699634204352881
69,15.726848950137235,15.693833730935179
70,15.705468133164535,15.68199563096446
71,15.705200779577131,15.668688572530952
72,15.66053055578039,15.668349180866306
73,15.708830839134512,15.668349180866306
74,15.694545557674049,15.675888692544866
75,15.672091447500259,15.684246719682617
76,15.751738146773237,15.721426891786093
77,15.724804979930125,15.726627646544994
78,15.75700143746778,15.723298258994499
79,15.688351891451218,15.718832241043048
80,15.764872442358593,15.71034566797233
81,15.817324613354156,15.74132503240451
82,15.783933939159027,15.727197094456612
83,15.72071851479139,15.710804891652028
84,15.797458183252429,15.738568402708486
85,15.68975003869389,15.743156899014725
86,15.785171225640008,15.74165688158521
87,15.789222717216031,15.74952387928851
88,15.812474067778506,15.761406147564792
89,15.7916344487216,15.769980669632137
90,15.790878811477574,15.760480876216237
91,15.818984361615996,15.760480876216237
92,15.80786830730399,15.760480876216237
93,15.854901896326853,15.760480876216237
94,15.734209032454253,15.73618551453875
95,15.719371677897595,15.719784631525402
96,15.640424948172274,15.627324598490477
97,15.672012219532936,15.627324598490477
98,15.69934198743532,15.646568840686802
99,15.669059003062737,15.659542540052454
100,15.662523852610175,15.632911260578306
101,15.713810884422548,15.667516310252017
102,15.628065193769677,15.667516310252017
103,15.679514227069914,15.667516310252017
104,15.619886247940538,15.681084326444575
105,15.778964297351079,15.681084326444575
106,15.722818720642875,15.685203934885314
107,15.783914594222045,15.710682293559122
108,15.774305208881595,15.717533843380696
109,15.75799220450831,15.710220962713917
110,15.741391035372105,15.675944570169118
111,15.67722881930717,15.67140525332298
112,15.70222352695712,15.696936421036678
113,15.727612709114224,15.69255011616639
114,15.703652758416423,15.656058549816995
115,15.583748818056625,15.640073914311621
116,15.671530849193896,15.640073914311621
117,15.612788626800507,15.619171233576743
118,15.659338547242799,15.634228864243457
119,15.67085237555708,15.624294522640067
120,15.634794782298766,15.63340639092053
121,15.642689854604813,15.63340639092053
122,15.634302185328911,15.61602002480679
123,15.697605476900264,15.638573747603383
124,15.766834232915896,15.661287936787286
125,15.618984484228804,15.612848296643593
126,15.67387922592938,15.582784225271405
127,15.592190729401747,15.57664358791447
128,15.63584242844053,15.57664358791447
129,15.598639016902801,15.532462262079207
130,15.577775094427166,15.512097283668403
131,15.542637146123042,15.511312879430987
132,15.521119202917161,15.497246504363515
133,15.571098141777783,15.497246504363515
134,15.491935758440635,15.491728262089403
135,15.470240846654631,15.433273679034736
136,15.445473655218116,15.433273679034736
137,15.454762991775912,15.434498918480362
138,15.530678190145766,15.432104665306355
139,15.453412816660595,15.432104665306355
140,15.528979301488578,15.43493054902388
141,15.420479291527773,15.424484759536723
142,15.498424196127546,15.428333491515751
143,15.480390884240567,15.428333491515751
144,15.487427660932697,15.411460958529448
145,15.416917870219917,15.411460958529448
146,15.481096363415373,15.430737037442814
147,15.477091846186795,15.436140325724528
148,15.451055904410046,15.419520113055404
149,15.474983733152296,15.419520113055404
150,15.472105573522327,15.419520113055404
151,15.436806443260696,15.407655353051277
152,15.412974619477657,15.398266281636797
153,15.484503416667042,15.433646256189967
154,15.485729838648876,15.442768612761462
155,15.46681735341762,15.434471787392646
156,15.506596001421405,15.452060006530626
157,15.429918879380113,15.452060006530626
158,15.505697332523692,15.463934580601936
159,15.54266158644135,15.463308081849183
160,15.454371297543597,15.478226830984195
161,15.500258367320628,15.469411768022344
162,15.492629713453246,15.469411768022344
163,15.486683526100244,15.452757411913597
164,15.450939343332603,15.409049794069157
165,15.465495930803145,15.416225499245092
166,15.459005333274684,15.430900787898718
167,15.454814622739532,15.445208181345453
168,15.41176487921342,15.423614932254461
169,15.460206886339439,15.424245709538225
170,15.450389462975831,15.424245709538225
171,15.413737213258031,15.410970238359964
172,15.402662903589675,15.367660107064586
173,15.362067482560317,15.384573754342842
174,15.410378768623923,15.367149559744668
175,15.366047283363619,15.367149559744668
176,15.416419062413535,15.367149559744668
177,15.419707570043629,15.38805852725687
178,15.431482536392187,15.388153003878795
179,15.427343319414598,15.388153003878795
180,15.380219794366182,15.388153003878795
181,15.414430624134342,15.381667561171362
182,15.469999408332274,15.373971498586444
183,15.388810893067442,15.382932537333886
184,15.394514023743726,15.372788944312475
185,15.343008025754706,15.366206343902572
186,15.368175785807521,15.366206343902572
187,15.342719448649017,15.366206343902572
188,15.406688228882716,15.360959079240718
189,15.344181825427174,15.360959079240718
190,15.374196775773168,15.345523715347136
191,15.424911836865956,15.356675579390743
192,15.388558352918746,15.33867622309307
193,15.363135768584739,15.33867622309307
194,15.382189368062162,15.33867622309307
195,15.306068188919529,15.328951626189236
196,15.365606950872035,15.325273534981317
197,15.318469042459721,15.325273534981317
198,15.342405843396385,15.333207352712925
199,15.337677398798254,15.333207352712925
200,15.390509829998503,15.333207352712925
201,15.406253730769038,15.350954804753531
202,15.410661006860598,15.344786192563635
203,15.325691962963536,15.33544376226139
204,15.360759616846623,15.330973482929554
205,15.379469223584517,15.330973482929554
206,15.343409838123385,15.330973482929554
207,15.301203285303501,15.330973482929554
208,15.379113150496426,15.330973482929554
209,15.32608575145635,15.330973482929554
