Iteration,Avg_Centroid_All_Distance,Avg_Centroid_Leaders_Distance
1,18.828730038632955,18.558056203824904
2,15.985317509183764,15.79678040630688
3,13.724942809298815,13.630216124218814
4,11.692563372527243,11.616353799612359
5,10.30621064688662,10.242018335110954
6,8.865941412037728,8.828876626393212
7,8.013970697967599,7.76364694576947
8,7.35922293760942,7.4024385620251625
9,7.009199086181099,6.9600874031869
10,6.597063824610548,6.5463707557965645
11,6.41767106079278,6.354550151758389
12,6.143466814043206,6.098685797000333
13,5.984607547825953,5.966721311802983
14,5.664342701476246,5.63129697143224
15,5.510517533797139,5.509883586219375
16,5.347952073783674,5.347858627165583
17,5.268950434948834,5.244383888118992
18,5.1215389704407,5.107730029828526
19,5.03321845488805,5.026230455093697
20,4.867206928720041,4.821647672806173
21,4.77555630964262,4.6984236911758
22,4.592579300606175,4.605613019362346
23,4.475613603428804,4.489998795704778
24,4.512820895485847,4.479475351883753
25,4.446143259271506,4.427242479172865
26,4.354392817604004,4.370779418855757
27,4.335796828016315,4.276312697877473
28,4.240003771326908,4.238593541354742
29,4.211701112782831,4.201790559597371
30,4.139905338237626,4.117375262477693
31,4.090091709939406,4.09032256564825
32,4.101510969994352,4.088360418507404
33,4.037975802963369,4.001233091763161
34,4.002976842526487,3.9715590002924475
35,4.036526553596686,3.9797176312801255
36,3.9649509535084433,3.9432542921507547
37,3.8698950192955532,3.861401655962191
38,3.858462042001741,3.8248922240241074
39,3.7984671415552196,3.7700396298884384
40,3.775343151936672,3.7530577095183735
41,3.766067832998057,3.73364293284758
42,3.709558484908986,3.7022196031752013
43,3.6814751437120505,3.6745559236920244
44,3.6655932822711463,3.6676997072965274
45,3.627341761117753,3.6439199176573336
46,3.6768862326097804,3.660536390796019
47,3.634043164197777,3.645705038283933
48,3.652790081296517,3.6381679562681355
49,3.5945764050547684,3.6001567640657206
50,3.591925598764654,3.5820080159041465
51,3.6029363168534543,3.5827957812460927
52,3.5143413802462864,3.5226088480276467
53,3.476269420283558,3.4505934216656486
54,3.4526585912699006,3.4517498095842987
55,3.420387035979708,3.4309015498320927
56,3.4607411039353044,3.4302339151353305
57,3.4194658731853695,3.3966171456731002
58,3.3949809858542914,3.3989826138847614
59,3.3606078936398753,3.3684014349394693
60,3.328420033107617,3.323444791282246
61,3.350166910442046,3.3311306101546054
62,3.316134618170334,3.302294006589712
63,3.3368560672992396,3.316685625723651
64,3.296889944715676,3.3111768202763883
65,3.299256419451257,3.304324793550313
66,3.3360509312660067,3.3098037282659414
67,3.305283061593635,3.2963586820211
68,3.3042548456706644,3.2921684872436847
69,3.2573769287736245,3.277613048229844
70,3.2999840717759357,3.2851913251439044
71,3.3042925904728526,3.2975145538242705
72,3.2811552059399087,3.278562242860785
73,3.229398571507487,3.225680839281621
74,3.2081848632473298,3.2257628338824507
75,3.1705146898537295,3.1876871715568647
76,3.209346272219595,3.2135051131042314
77,3.189439211357353,3.1795064016352
78,3.1629338057359604,3.151997835977498
79,3.1591850156063486,3.165666603737883
80,3.1586499584303733,3.1537469395200257
81,3.1825065528289755,3.1741668641968848
82,3.181797387236924,3.1638492566856464
83,3.1481247051869246,3.161472938797145
84,3.1408897070162554,3.144835195248598
85,3.135829206659437,3.1368048940225703
86,3.139109148191797,3.1301955340003484
87,3.092194646292486,3.117270386077848
88,3.117045301285862,3.118792121473628
89,3.122696848004719,3.1119998472739514
90,3.093283430681075,3.090829699954747
91,3.0857668500414652,3.083963578963211
92,3.0797019773474767,3.063501627736975
93,3.0499806610839006,3.043038282547539
94,3.045162559841658,3.0392140356987363
95,3.0625647872271586,3.033308652954599
96,3.024167416872762,3.026448977256772
97,3.043342419406551,3.0257692889608063
98,3.030302256054116,3.016806594934104
99,3.0118346475132802,3.010722745232553
100,2.9911320894110465,2.975724529444304
101,2.985020495680229,2.9619637196007207
102,2.989386528133956,2.9716430238770246
103,2.947175150720942,2.94297804151575
104,2.9051353735880556,2.901514040298746
105,2.9034876370055014,2.9011664737295915
106,2.8978898895812693,2.903700106375633
107,2.890917395233109,2.896646275231379
108,2.907246881441928,2.8825539352216922
109,2.915143795716582,2.8997384731408045
110,2.901481974359025,2.89355671850512
111,2.89459732050715,2.9065871406620643
112,2.908524697046223,2.9048962496454527
113,2.893650448504818,2.8950225276589077
114,2.9030354422588616,2.887596125441365
115,2.8833369691867703,2.8876587285036863
116,2.8934955285170174,2.8798556081949838
117,2.8926057944694556,2.87998036616637
118,2.8865017694450716,2.879072425583238
119,2.8905573697320524,2.8760292547117863
120,2.869758510676432,2.8511000157575355
121,2.8505755131797144,2.8460070630569447
122,2.829934866490784,2.8400326666559135
123,2.8506176581694946,2.839239153990241
124,2.8435245382927037,2.83706892958126
125,2.8242818317350022,2.832326469806513
126,2.841583156187819,2.828127386996867
127,2.8364940147626254,2.832435517471551
128,2.8024695784029516,2.8157419482754933
129,2.813607701557231,2.813864985502356
130,2.8169120988164655,2.8112416792156205
131,2.8157210387801492,2.8124964441407085
132,2.807197331836031,2.798691541791115
133,2.80053980746079,2.7985708499066364
134,2.801418125296352,2.8001478860260223
135,2.791311029829659,2.796405088759537
136,2.8030651693842663,2.7947847709549234
137,2.7842675011194573,2.795544331183989
138,2.800232287005384,2.791645298901719
139,2.784336938942959,2.7785422710746484
140,2.7983787270457467,2.7753810141743056
141,2.7720360927798664,2.7757547325404857
142,2.787828824472629,2.779169805451921
143,2.7803092500083624,2.778142945988541
144,2.783866208367678,2.7820872724011667
145,2.7805628586101774,2.77710113619423
146,2.7771233162599223,2.777940296231958
147,2.7932380732258792,2.774233232248804
148,2.760724758265742,2.774489605911002
149,2.7963553702013084,2.7788127848305217
150,2.7486382155776945,2.762079326033114
151,2.7692637455179963,2.75948306271846
