Iteration,Avg_Centroid_All_Distance,Avg_Centroid_Leaders_Distance
1,10.144927926426115,9.885347032930422
2,10.227901521670324,10.213564071693261
3,10.370292788236135,10.243209090845774
4,10.355414908872293,10.284827179384099
5,10.101129238320308,10.028608881241542
6,9.849938320544032,9.825322244585523
7,9.616582429341342,9.53625489931462
8,9.50876204599979,9.45621543903937
9,9.380183202443867,9.375432545630414
10,9.131162541087388,9.128511741301114
11,8.88847694140057,8.814072379799132
12,8.80317884582383,8.704155347476272
13,8.711579771059272,8.713973264387944
14,8.591900850422684,8.613075866561152
15,8.562619988174093,8.511159944459832
16,8.371255998176785,8.336070513362404
17,8.248005642990424,8.143021286155035
18,8.175970204008106,8.142650926759694
19,8.084410959068144,8.144860787146865
20,8.052944232093632,7.993469936399075
21,7.8715261880825365,7.890169150820728
22,7.647851012279873,7.670560943511327
23,7.749536498432104,7.74519132805504
24,7.568048518663702,7.5236485886748925
25,7.500509873022236,7.518377758049314
26,7.499784023535958,7.450822911225677
27,7.311087636428487,7.276247446467166
28,7.296394022302007,7.230650822625654
29,7.10324152095128,7.1151120831844334
30,7.098596092195558,7.039931472597675
31,6.906056961583463,6.843095544833805
32,6.846698857364084,6.845306129383591
33,6.85999081956771,6.805810939076683
34,6.779795227056089,6.73149510507696
35,6.672344481937623,6.6631224421391675
36,6.475063449843959,6.5054882120635265
37,6.371312714710814,6.384984977411534
38,6.326590459998556,6.236484491044208
39,6.29339693736709,6.268915641521217
40,6.2783694977129,6.2209632732763716
41,6.318446822859515,6.232269714915547
42,6.115043786497723,6.087409208579964
43,5.946588550121267,5.961766509809114
44,5.951330307837635,5.9408520762261
45,5.820836110492964,5.79602065285003
46,5.753452086465566,5.74096212513424
47,5.736950406550223,5.731603534050979
48,5.837758286079338,5.812043043519313
49,5.753190737702511,5.754817645741101
50,5.8647083624668594,5.782114362159531
51,5.789553398391374,5.777037829590108
52,5.750367075022173,5.742418178774162
53,5.736649071018818,5.704052917017394
54,5.645111610381547,5.641017113200433
55,5.714390392149062,5.664343820465678
56,5.572842698466482,5.542022871553349
57,5.458683634941948,5.45300596707485
58,5.478858818808306,5.447414118643672
59,5.3989241496844596,5.398690959694778
60,5.387732595097793,5.36277843539593
61,5.352295734381847,5.333617602005446
62,5.349925712373103,5.320545427227645
63,5.275934477327904,5.263597366476911
64,5.355896872824163,5.3275109113368995
65,5.254526719759548,5.223960804657622
66,5.198722423254631,5.168467442141959
67,5.069214215650506,5.0436147153640265
68,4.989792280674091,4.988765487779949
69,5.059532992157211,5.018994359066978
70,5.05935805083898,5.006955290026095
71,4.988305323588839,5.008520867973482
72,4.982715972472004,4.984738750614029
73,4.911261692493179,4.923892024441954
74,4.819183325288943,4.8371370774425815
75,4.794773265990031,4.810871079527929
76,4.7238160224855825,4.742953536514215
77,4.758168739967328,4.749469504454249
78,4.699349538684165,4.678455524955435
79,4.589743317025943,4.641450238460888
80,4.617099608504642,4.565534389019942
81,4.601131578764268,4.556637005602616
82,4.5196044344982855,4.537419017795771
83,4.580040022254132,4.57866633868673
84,4.576244428452073,4.540460825005291
85,4.509443893312138,4.523788124531516
86,4.510756225164011,4.52700567644065
87,4.524193688170109,4.531481011496975
88,4.492751984166708,4.47970796784676
89,4.505318245040882,4.469050456776073
90,4.469432679031156,4.45837003435594
91,4.498055546613433,4.485934557232638
92,4.421366569743863,4.4411086606688155
93,4.374008688204964,4.3927617538827155
94,4.412753161429253,4.399900189854099
95,4.41926968902393,4.396854496258895
96,4.376320299956303,4.356357009511735
97,4.311480259221055,4.3247052028616775
98,4.307538772679293,4.279008628808952
99,4.226361494988838,4.260285453011195
100,4.273223475607414,4.246933132438324
101,4.169069265760434,4.195215148703476
102,4.163501937354703,4.1581833325127535
103,4.226444506463674,4.210151154091763
104,4.20669198057031,4.202703860724659
105,4.207711629289023,4.1873623717052935
106,4.166929287602084,4.1657546265879795
107,4.119572543548292,4.144093258454449
108,4.145956892039349,4.139232289182994
109,4.089585516542323,4.11330154336215
110,4.103548360434813,4.110565842500779
111,4.114096477710645,4.076142963966217
112,4.051931457891271,4.058578914295681
113,4.086506391571887,4.075650879352675
114,4.099243424041882,4.088922046040171
115,4.04455299619796,4.048224054819669
116,4.055437166618229,4.033079146566637
117,4.0356402580944835,4.0084466033490385
118,3.9995898477544047,4.013310444449162
119,4.051992995770495,4.041237859133455
120,4.011624748721097,4.03585199977996
121,4.007701387208826,4.025323324777378
122,4.0368561759843296,4.015624692224182
123,4.00388427139374,4.012314474671617
124,4.043450695329181,4.0242403162479645
125,3.988304443690345,3.992188560334117
126,3.994965801425399,3.9676168402779215
127,3.9587658108120336,3.946709858350643
128,3.892095862654344,3.91916330053304
129,3.920115994551246,3.912515711762708
130,3.949522060313183,3.9093219089260076
131,3.9219957584669496,3.9013956915138834
132,3.9046880657994505,3.894741272668865
133,3.9035262231164016,3.9070301556109195
134,3.9599442187337996,3.893056155831132
135,3.8977888244266636,3.899467275792732
136,3.9122300724146997,3.893325345584948
137,3.8713225975960364,3.87611289255494
138,3.893484344209642,3.8945381661414253
139,3.9099759540464794,3.910800152730018
140,3.8780351016891097,3.882563085555665
141,3.8768663612889083,3.8625906308487945
142,3.853657413114677,3.829211002059687
143,3.8181063957808807,3.830779719985439
144,3.8534019843258056,3.8423613986056475
145,3.8070966208813446,3.82593373691091
146,3.8519124112778065,3.84300887525061
147,3.8491859897486695,3.8500259668290724
148,3.867017709152298,3.8302766185345645
149,3.8045072214760736,3.8275211484595366
150,3.821692601518397,3.826035299220934
151,3.838982482002499,3.834398038056288
152,3.814420086160335,3.813977182667583
153,3.834007052953292,3.82231364166927
154,3.854793854315861,3.835066145937712
155,3.8126329925983238,3.805315828572271
156,3.8416512744001525,3.808269965523682
157,3.8212101263167266,3.809016444665078
158,3.797289911077249,3.821968786436548
159,3.8591201946920237,3.836100779130433
160,3.80468164684631,3.8085723905210043
161,3.806834976004559,3.8026224818495433
162,3.7629110063513034,3.7749075391401536
163,3.8290580840708435,3.8010055035090162
164,3.7785837476047996,3.786768099558588
165,3.782750045872513,3.770027291618737
166,3.770017430862765,3.778062755903347
167,3.7889138281954,3.781667495123555
168,3.8088225518308434,3.79937194156113
169,3.8032166686867135,3.7638809360406906
170,3.7574586361955498,3.7547207392275936
171,3.726280653207617,3.7214769593300696
172,3.739360573442957,3.7118279966233203
173,3.731881357908431,3.727148875885056
174,3.7322466572693,3.7270700475421044
175,3.7799310322478217,3.7497429952816725
176,3.772385059656413,3.761426452515613
177,3.748008505189658,3.7680262230123875
178,3.778053262960644,3.7700623955128623
179,3.7470607345500455,3.7597991846251526
180,3.758934336315778,3.7776921224211675
181,3.751722550471336,3.775011381023928
