Iteration,Avg_Centroid_All_Distance,Avg_Centroid_Leaders_Distance
1,9.03141084,8.690325496
2,9.52894103,9.347715266
3,9.58266099,9.357389324
4,9.215215342,9.207760092
5,9.047867077,8.9638398
6,8.724635034,8.672426707
7,8.589314202,8.418489709
8,8.273556903,8.211121823
9,8.110637221,8.106617021
10,7.99381814,7.964070998
11,7.86232196,7.77032161
12,7.585839186,7.55544391
13,7.493553921,7.428365598
14,7.195486895,7.131392127
15,7.074142275,7.089032767
16,6.932083816,6.931981275
17,6.791511826,6.794644812
18,6.645016726,6.595653551
19,6.575798326,6.526699623
20,6.547438114,6.460004323
21,6.305039956,6.303427595
22,6.245123611,6.194108386
23,6.057093937,6.090988027
24,5.980165148,5.968431205
25,5.934123833,5.918631923
26,5.855204729,5.81594547
27,5.778214744,5.769756887
28,5.656580164,5.617118135
29,5.708236493,5.651957262
30,5.503912201,5.489408289
31,5.33137808,5.279711669
32,5.198142997,5.194767321
33,5.084070192,5.117289763
34,4.956740982,4.931542119
35,4.827804012,4.861870162
36,4.798412001,4.77920397
37,4.731381869,4.659136851
38,4.550597181,4.523023432
39,4.528414654,4.430152576
40,4.394952771,4.356937944
41,4.372330328,4.349479008
42,4.354532538,4.326702657
43,4.265993188,4.274943985
44,4.183465724,4.178224809
45,4.102603028,4.117406254
46,4.096276402,4.094760061
47,4.032267694,3.987162906
48,3.940398559,3.929556415
49,3.862621019,3.866606872
50,3.822258741,3.811722918
51,3.80100059,3.793190864
52,3.751076861,3.724079243
53,3.774287401,3.747474743
54,3.607151453,3.630571848
55,3.542025853,3.556140733
56,3.461668123,3.484807407
57,3.467286877,3.461457232
58,3.533048541,3.508315449
59,3.449882885,3.460183064
60,3.431506484,3.44164588
61,3.408517911,3.395979165
62,3.386168844,3.363756273
63,3.251092374,3.275831179
64,3.247976471,3.232718788
65,3.159076957,3.150256575
66,3.128214736,3.134616431
67,3.078915563,3.06022456
68,3.105325114,3.076952419
69,3.013028461,3.03391084
70,2.97402979,2.967352356
71,2.874121951,2.899619406
72,2.885194566,2.905224689
73,2.829505498,2.832821504
74,2.759259771,2.748569226
75,2.799174209,2.753539595
76,2.713096829,2.715212722
77,2.648352909,2.65161403
78,2.588985566,2.579352945
79,2.644829331,2.62899472
80,2.627069413,2.603999063
81,2.576549149,2.553851646
82,2.620266616,2.601982422
83,2.546391757,2.560928512
84,2.525396463,2.523379702
85,2.48894471,2.478626803
86,2.433382017,2.434068243
87,2.378793518,2.366930237
88,2.39716857,2.372696987
89,2.351957152,2.348139078
90,2.339337527,2.34993473
91,2.300960342,2.295399638
92,2.276598323,2.278780827
93,2.297564025,2.296216659
94,2.286747002,2.260901321
95,2.279268123,2.264840625
96,2.264196456,2.270539673
97,2.241901861,2.258121794
98,2.265542091,2.268064793
99,2.296736173,2.268180781
100,2.269506077,2.245266204
101,2.235477589,2.254149461
102,2.233902826,2.235333553
103,2.196459048,2.186335298
104,2.15698952,2.171093836
105,2.151252959,2.155153979
106,2.149416097,2.155383864
107,2.154343894,2.132384696
108,2.082330162,2.10037938
109,2.043075143,2.068031324
110,2.069794263,2.0652824
111,2.092116004,2.076204326
112,2.067234931,2.061682066
113,2.046544317,2.028176942
114,2.010689813,2.037353363
115,2.044386192,2.032228659
116,2.02912415,2.023180813
117,2.002992823,1.99883045
118,1.998975007,1.995380874
119,1.993965763,1.980234724
120,1.934662096,1.933144071
121,1.896146327,1.903442406
122,1.906208721,1.904137115
123,1.90413609,1.90877574
124,1.885747356,1.894621656
125,1.878934954,1.883956608
126,1.891757696,1.883975892
127,1.878253857,1.87496274
128,1.883926588,1.872456896
129,1.86248788,1.869844094
130,1.866238925,1.862099226
131,1.874045481,1.8482185
132,1.863766883,1.848695045
133,1.815706575,1.826535031
134,1.805503532,1.808429144
135,1.831372783,1.820118769
136,1.800171941,1.781818987
137,1.776104899,1.777679557
138,1.792712205,1.777064679
139,1.766830179,1.772990422
140,1.762661581,1.765454885
141,1.772197399,1.755893962
142,1.717077858,1.723270782
143,1.724867425,1.7234677
144,1.715935421,1.726633862
145,1.718678962,1.720643928
146,1.710222362,1.706488188
147,1.694018764,1.696658552
148,1.697356127,1.696366469
149,1.702286098,1.69837187
150,1.695253291,1.693107163
151,1.695132961,1.689321725
152,1.68236499,1.680958453
153,1.684693117,1.690635861
154,1.685104418,1.689787106
155,1.673173543,1.675904845
156,1.670535844,1.666521821
157,1.654658923,1.652950351
158,1.655728151,1.652869754
159,1.672999447,1.657637715
160,1.645504488,1.646912358
161,1.619317673,1.629235588
162,1.62303088,1.632895109
163,1.619716882,1.630426006
164,1.619966879,1.624551645
165,1.630753721,1.627681098
166,1.627425081,1.627471103
167,1.617459906,1.624002882
168,1.607791905,1.606384526
169,1.604178072,1.607284998
170,1.598532438,1.603366314
171,1.602026642,1.604407655
172,1.609814729,1.604046574
173,1.612004147,1.596955301
174,1.588337196,1.597513673
175,1.613131095,1.605388387
176,1.604729981,1.599913481
177,1.588476187,1.597743635
178,1.60804128,1.599202063
179,1.584266836,1.595590177
180,1.59426318,1.595607535
181,1.589541257,1.594936178
182,1.605556382,1.602319664
183,1.604285209,1.598081235
184,1.596212251,1.599524577
185,1.594153207,1.587725641
186,1.587714087,1.567839868
187,1.575274957,1.568205099
188,1.575916553,1.57444159
189,1.570937035,1.574703628
190,1.572881673,1.577657424
191,1.582974805,1.576317364
192,1.572213747,1.574621368
193,1.579694914,1.573860118
194,1.578775082,1.573750971
195,1.580567376,1.573731211
196,1.566709029,1.567545105
197,1.56960573,1.570006782
198,1.561010998,1.560066214
199,1.551685788,1.559790855
200,1.538838654,1.538754041
201,1.544591296,1.535085796
202,1.53731444,1.539249868
203,1.547556401,1.54057165
204,1.536844454,1.535858469
205,1.533283967,1.53539695
206,1.52967597,1.533827147
207,1.517296679,1.525290215
208,1.521770167,1.526105068
209,1.5314604,1.529837133
210,1.510903025,1.518045603
211,1.511307967,1.516942273
212,1.524890629,1.518253984
213,1.519201505,1.523974409
214,1.534521464,1.523249095
215,1.523936487,1.525852571
216,1.532754439,1.525837761
217,1.518118553,1.522107348
218,1.522781702,1.520962999
219,1.517646352,1.512151801
220,1.504838832,1.509036055
221,1.512980876,1.509124967
222,1.525572793,1.516309372
223,1.518130867,1.513812698
224,1.526006025,1.517356124
225,1.528433743,1.518435677
226,1.516549634,1.523196208
227,1.531546067,1.523912627
228,1.525785173,1.518962978
229,1.513557167,1.513225717
230,1.511210541,1.510419374
231,1.515270676,1.510396652
232,1.519778389,1.510203814
233,1.508827155,1.50881114
234,1.504218301,1.499981937
235,1.501861606,1.499430716
236,1.50609089,1.498772785
237,1.510043967,1.500816013
238,1.507623758,1.494799017
239,1.487906046,1.494797962
